n,time,r
1223,6957569,3834
1224,4639348971,3834
1225,252170019,3834
1226,13125701,3834
1227,13854293,3834
1228,6773926,3835
1229,2623799422,3835
1230,110029679,3835
1231,81589697,3835
1232,7109668,3835
1233,7328589,3835
1234,1768938243,3835
1235,6748951,3835
1236,650636545,3835
1237,7151145,3835
1238,6485189,3835
1239,194307273,3835
1240,6542979,3835
1241,271911450,3835
1242,6492910,3835
1243,971062646,3835
1244,12716318,3835
1245,6549868,3835
1246,140217106,3835
1247,6596371,3861
1248,6511806,3861
1249,6806421,3861
1250,2001681247,3861
1251,521449199,3861
1252,556000347,3861
1253,18953195,3861
1254,6617621,3861
1255,6666628,3861
1256,6616390,3861
1257,6607117,3861
1258,1638615205,3861
1259,6609550,3861
1260,6649455,3861
1261,6597673,3861
1262,6651928,3861
1263,786777716,3861
1264,1315933414,3861
1265,6650917,3861
1266,2456717230,3861
1267,6728313,3861
1268,13443839,3861
1269,6698231,3861
1270,6789757,3861
1271,192103132,3861
1272,13460772,3861
1273,186733879,3861
1274,427543164,3861
1275,13530208,3861
1276,6718951,3861
1277,13461844,3861
1278,6710599,3861
1279,6692794,3861
1280,218279261,3861
1281,13494018,3861
1282,186202968,3861
1283,13005256,3861
1284,155508505,3861
1285,130871593,3861
1286,106023581,3861
1287,6738066,3861
1288,855450789,3861
1289,349391775,3861
1290,6737746,3861
1291,443127167,3861
1292,9120883986,3966
1293,576183092,3966
1294,204810948,3966
1295,6987099,3966
1296,143345337,3966
1297,13297258,3966
1298,607354952,3966
1299,6930311,3966
1300,134728767,3966
1301,223215700,3966
1302,6823214,3966
1303,6868265,3966
1304,6873533,3966
1305,20254095,3966
1306,6967402,3966
1307,6907080,3966
1308,1932326076,3966
1309,6895473,3966
1310,6875085,3966
1311,4690892357,3975
1312,349073798,3975
1313,7025252,3975
1314,6993878,3975
1315,384045093,3975
1316,797745709,3975
1317,286954908,3975
1318,7026263,3975
1319,228494190,3975
1320,14145734,3975
1321,235469002,3975
1322,266950267,3975
1323,6951020,3975
1324,1050830437,3975
1325,6965159,3975
1326,509499775,3975
1327,7061181,3975
1328,14167493,3975
1329,6986508,3975
1330,7003832,3975
1331,1795838152,3975
1332,7060445,3975
1333,14211841,3975
1334,7037603,3975
1335,171492686,3975
1336,1309915735,3975
1337,7037663,3975
1338,283201041,3975
1339,7029167,3975
1340,158820594,3975
1341,7097685,3975
1342,179342479,3975
1343,7086610,3975
1344,6946958,3975
1345,703052229,3975
1346,1156710170,3975
1347,906677755,3975
1348,264839200,3975
1349,120065192,3975
1350,918309119,3975
1351,7157458,3975
1352,7132420,3975
1353,93154515,3975
1354,7065054,3975
1355,145879652,3975
1356,2279649433,3975
1357,7141990,3975
1358,7171842,3975
1359,434803367,3975
1360,7102447,3975
1361,47119042,3975
1362,7117383,3975
1363,7141309,3975
1364,7136998,3975
1365,7192120,3975
1366,7130867,3975
1367,4958066035,4060
1368,7158439,4060
1369,7170622,4060
1370,162235643,4060
1371,1173006068,4060
1372,7188576,4060
1373,4166147334,4060
1374,7346481,4060
1375,7202372,4060
1376,102667969,4060
1377,361671280,4060
1378,157136204,4060
1379,7263616,4060
1380,7250170,4060
1381,7264768,4060
1382,68627437,4060
1383,251048359,4060
1384,7268615,4060
1385,244444800,4060
1386,7298992,4060
1387,7209004,4060
1388,2536742263,4060
1389,144134401,4060
1390,123535426,4060
1391,192177732,4060
1392,7287641,4060
1393,55251924,4060
1394,1385377914,4060
1395,379948863,4060
1396,14801206,4060
1397,7332887,4060
1398,14690899,4060
1399,1245506514,4060
1400,365132428,4060
1401,7315914,4060
1402,7353463,4060
1403,1673848050,4060
1404,304887690,4060
1405,371976575,4060
1406,104455103,4060
1407,283292682,4060
1408,7392577,4060
1409,7387500,4060
1410,7391736,4060
1411,883991260,4060
1412,7471835,4060
1413,7380150,4060
1414,1438797224,4060
1415,7408689,4060
1416,7388030,4060
1417,276927948,4060
1418,1745730377,4060
1419,7389152,4060
1420,1013002124,4060
1421,70774263,4060
1422,97817245,4060
1423,3557181677,4060
1424,140301972,4060
1425,28581748,4060
1426,7518951,4060
1427,2080006004,4226
1428,22128853,4226
1429,189457514,4226
1430,7489030,4226
1431,680047624,4226
1432,7437368,4226
1433,1353808841,4226
1434,7552326,4226
1435,7548802,4226
1436,14692106,4226
1437,7562370,4226
1438,7521734,4226
1439,135595049,4226
1440,177061386,4226
1441,191200040,4226
1442,794152628,4226
1443,1156142479,4226
1444,15140903,4226
1445,446920974,4226
1446,7659684,4226
1447,7528934,4226
1448,1339611126,4226
1449,15113425,4226
1450,135004216,4226
1451,15623146,4226
1452,114374535,4226
1453,269687511,4226
1454,7520333,4226
1455,503880278,4226
1456,377304182,4226
1457,3125751498,4226
1458,180172864,4226
1459,7595265,4226
1460,2297169621,4226
1461,65293115,4226
1462,7646446,4226
1463,15274887,4226
1464,7689405,4226
1465,15355909,4226
1466,310089053,4226
1467,93950276,4226
1468,7620190,4226
1469,3206767546,4226
1470,216666153,4226
1471,7652554,4226
1472,7689925,4226
1473,659598401,4226
1474,239677990,4226
1475,7732664,4226
1476,7749678,4226
1477,1753911548,4226
1478,189131596,4226
1479,318383080,4226
1480,7728830,4226
1481,7656950,4226
1482,109414654,4226
1483,1569111580,4226
1484,7740345,4226
1485,43990409,4226
1486,7667545,4226
1487,7737602,4226
1488,124529851,4226
1489,1304839046,4226
1490,7668346,4226
1491,486300080,4226
1492,7723121,4226
1493,640954420,4226
1494,65985557,4226
1495,183886442,4226
1496,7725735,4226
1497,1251267120,4226
1498,7766431,4226
1499,607826772,4226
1500,813591362,4226
1501,360621239,4226
1502,7795301,4226
1503,52097748,4226
1504,66454862,4226
1505,3457897466,4226
1506,244076059,4226
1507,7794800,4226
1508,37463122,4226
1509,169791328,4226
1510,2366956997,4304
1511,7819725,4304
1512,7828246,4304
1513,230409954,4304
1514,720438492,4304
1515,7836637,4304
1516,7837068,4304
1517,885544716,4304
1518,777426645,4304
1519,276512037,4304
1520,562056365,4304
1521,15752794,4304
